,Номер,Начальная цена
0,"

                                        № 32110894272
                                    
","38 285 120,64 ₽
                            "
1,"

                                        № 32211090096
                                    
","185 000,00 ₽
                            "
2,"

                                        № 32211090077
                                    
","255 000,00 ₽
                            "
3,"

                                        № 32211090047
                                    
","185 000,00 ₽
                            "
4,"

                                        № 32211090024
                                    
","275 000,00 ₽
                            "
5,"

                                        № 32211090002
                                    
","210 000,00 ₽
                            "
6,"

                                        № 32211089984
                                    
","275 000,00 ₽
                            "
7,"

                                        № 32211089965
                                    
","230 000,00 ₽
                            "
8,"

                                        № 32211089947
                                    
","230 000,00 ₽
                            "
9,"

                                        № 32211089927
                                    
","185 000,00 ₽
                            "
